p1Null,p2Null,isValidp1,isValidp2,isStringp1,isStringp2,isDisjointp1p2,sizeof1,sizeof2,strlen1,strlen2
0,0,1,0,1,1,0,4,10,2,3
0,0,1,0,1,1,0,10,5,5,2
0,0,1,0,1,0,0,7,10,4,7
0,0,1,1,1,1,0,3,6,2,3
0,0,1,1,1,1,0,9,7,5,6
0,0,1,1,1,1,1,9,7,6,4
0,0,1,1,1,1,1,6,4,2,3
0,0,1,0,1,0,0,5,4,3,10
0,0,1,1,0,1,1,4,9,8,2
0,0,1,1,0,1,1,6,8,3,4
0,0,1,1,0,1,1,4,10,8,3
0,0,1,0,1,1,0,7,3,3,7
0,0,1,1,0,1,1,10,5,7,3
0,0,1,0,1,0,0,10,8,8,5
0,0,1,1,1,1,1,8,9,6,6
0,0,1,0,1,0,0,10,4,2,5
0,0,1,1,1,1,0,8,7,7,7
0,0,1,1,0,1,1,10,5,2,4
0,0,1,1,1,0,0,7,4,4,4
0,0,1,0,1,1,0,8,10,4,8
0,0,1,1,1,0,0,8,8,6,7
0,0,1,1,1,1,0,10,4,3,7
0,0,1,1,1,0,0,9,9,5,7
0,0,1,0,1,1,0,8,5,6,4
0,0,1,1,1,1,0,9,10,5,6
0,0,1,0,1,1,0,4,9,3,2
0,0,1,1,1,0,0,8,8,2,10
0,0,1,0,1,0,0,5,1,2,9
