p1Null,p2Null,isValidp1,isValidp2,isStringp1,isStringp2,isDisjointp1p2,sizeof1,sizeof2,strlen1,strlen2
0,0,1,1,1,1,1,9,4,1,2
0,0,1,1,0,1,1,1,2,6,1
0,0,1,1,1,0,0,6,4,5,9
0,0,1,0,1,1,0,10,1,4,3
0,0,1,1,1,1,0,8,10,4,10
0,0,1,1,0,1,1,10,9,2,8
0,0,1,1,1,1,1,8,8,2,3
0,0,1,0,1,0,0,9,1,3,7
0,0,1,0,1,0,0,10,10,7,9
0,0,1,1,1,1,0,4,4,3,3
0,0,1,0,1,1,0,8,6,7,3
0,0,1,1,0,1,1,8,4,5,3
0,0,1,1,1,0,0,8,3,7,2
0,0,1,0,1,1,0,10,4,2,8
0,0,1,1,1,1,1,9,7,8,1
0,0,1,1,1,1,0,6,3,5,2
0,0,1,0,1,1,0,7,5,2,9
0,0,1,1,1,0,0,10,4,6,4
0,0,1,1,1,1,0,10,8,6,3
0,0,1,0,1,1,0,10,1,5,2
0,0,1,1,1,1,0,8,6,2,9
0,0,1,1,1,0,0,7,5,4,10
0,0,1,1,1,0,0,7,6,5,9
0,0,1,1,1,1,0,6,9,3,10
0,0,1,0,1,0,0,7,10,4,5
0,0,1,0,1,0,0,3,3,2,7
0,0,1,1,0,1,1,3,9,8,2
0,0,1,1,1,1,0,8,4,6,4
