p1Null,isValidp1,isStringp1,sizeof1,strlen1
0,1,1,8,1
0,1,1,6,3
0,1,1,9,3
0,1,1,5,2
0,1,1,3,2
0,1,1,10,7
0,1,1,6,3
0,1,1,4,2
0,1,1,10,7
0,1,1,9,1
0,1,1,9,4
0,1,1,9,2
0,1,1,9,2
0,1,1,7,4
0,1,1,10,5
0,1,1,8,3
0,1,1,6,1
0,1,1,7,6
0,1,1,9,4
0,1,1,10,2
0,1,1,7,1
0,1,1,3,1
0,1,1,9,2
0,1,1,10,9
0,1,1,7,5
0,1,1,9,7
0,1,1,10,9
0,1,1,8,4
0,1,1,4,1
0,1,1,6,4
0,1,1,6,4
0,1,1,7,5
0,1,1,7,2
0,1,1,8,5
0,1,1,4,2
0,1,1,8,6
0,1,1,9,6
0,1,1,3,2
0,1,1,8,1
0,1,1,8,1
0,1,1,6,4
0,1,1,9,8
0,1,1,9,4
0,1,1,10,5
0,1,1,9,3
0,1,1,8,1
0,1,1,9,5
0,1,1,10,6
0,1,1,10,6
0,1,1,8,3
0,1,1,9,3
0,1,1,10,2
0,1,1,10,4
0,1,1,5,3
0,1,1,6,5
0,1,1,10,1
0,1,1,9,4
0,1,1,8,1
0,1,1,8,2
0,1,1,7,6
0,1,1,7,1
0,1,1,10,2
0,1,1,10,1
0,1,1,8,2
0,1,1,10,4
0,1,1,6,1
0,1,1,10,2
0,1,1,6,1
0,1,1,9,7
0,1,1,10,5
0,1,1,4,1
0,1,1,10,2
0,1,1,9,1
0,1,1,2,1
0,1,1,3,1
0,1,1,9,7
0,1,1,3,2
0,1,1,6,5
0,1,1,10,3
0,1,1,10,3
0,1,1,2,1
0,1,1,8,1
0,1,1,6,1
0,1,1,2,1
0,1,1,3,2
0,1,1,8,4
0,1,1,10,6
0,1,1,7,1
0,1,1,9,5
0,1,1,10,4
0,1,1,9,6
0,1,1,6,3
0,1,1,7,1
0,1,1,9,8
0,1,1,7,3
0,1,1,5,4
0,1,1,3,2
0,1,1,4,3
0,1,1,7,1
0,1,1,10,3
0,1,1,9,6
0,1,1,8,6
0,1,1,9,8
0,1,1,10,8
0,1,1,10,6
0,1,1,7,5
0,1,1,6,1
0,1,1,8,1
0,1,1,9,8
0,1,1,8,4
0,1,1,10,5
0,1,1,8,7
0,1,1,6,3
0,1,1,7,4
0,1,1,6,5
0,1,1,3,1
0,1,1,4,3
