p1Null,p2Null,isValidp1,isValidp2,isStringp1,isStringp2,isDisjointp1p2,sizeof1,sizeof2,strlen1,strlen2
0,0,1,0,1,0,0,9,9,7,3
0,0,1,1,1,0,0,8,8,3,10
0,0,1,1,1,0,0,8,7,7,10
0,0,1,0,1,1,0,9,6,8,6
0,0,1,0,1,0,0,10,8,9,3
0,0,1,1,1,1,1,6,9,3,2
0,0,1,0,1,1,0,9,1,8,1
0,0,1,0,1,1,0,6,7,3,10
0,0,1,1,1,1,0,4,3,2,10
0,0,1,1,1,1,0,8,3,5,10
0,0,1,1,1,1,0,7,9,3,6
0,0,1,1,1,1,0,10,5,8,9
0,0,1,0,1,1,0,9,6,2,2
0,0,1,1,1,1,0,8,5,7,7
0,0,1,0,1,0,0,8,8,3,2
0,0,1,1,1,1,0,8,6,7,10
0,0,1,1,1,1,0,10,10,6,7
0,0,1,0,1,1,0,7,9,2,3
0,0,1,1,1,1,0,10,3,5,2
0,0,1,1,1,0,0,7,4,3,5
0,0,1,1,1,1,0,7,4,4,10
0,0,1,0,1,0,0,10,4,3,7
