p1Null,p2Null,isValidp1,isValidp2,isStringp1,isStringp2,isDisjointp1p2,sizeof1,sizeof2,strlen1,strlen2
0,0,1,1,1,1,1,9,8,7,4
0,0,1,1,0,1,1,5,4,8,2
0,0,1,1,1,0,0,10,9,8,6
0,0,1,1,1,1,0,9,5,7,10
0,0,1,1,0,1,1,7,5,5,1
0,0,1,0,1,0,0,8,1,2,2
0,0,1,0,1,1,0,10,1,7,2
0,0,1,1,0,1,1,10,8,5,4
0,0,1,0,1,0,0,6,8,4,3
0,0,1,0,1,0,0,9,1,5,7
0,0,1,1,1,1,0,6,2,2,7
0,0,1,1,1,0,0,4,3,3,2
0,0,1,1,1,1,1,10,3,6,1
0,0,1,1,1,1,0,4,4,2,2
0,0,1,0,1,0,0,4,7,2,7
0,0,1,0,1,1,0,8,8,6,2
0,0,1,0,1,1,0,6,10,3,3
0,0,1,0,1,1,0,8,6,3,7
0,0,1,0,1,1,0,6,2,2,3
0,0,1,1,1,1,1,9,7,4,5
0,0,1,1,1,0,0,6,9,3,8
0,0,1,0,1,1,0,6,2,5,9
0,0,1,0,1,1,0,10,6,3,5
0,0,1,1,1,1,0,9,2,8,7
0,0,1,1,1,1,0,6,1,5,9
0,0,1,0,1,0,0,5,4,4,6
0,0,1,1,1,0,0,7,7,4,1
0,0,1,0,1,0,0,7,4,4,7
0,0,1,1,1,1,0,10,5,2,3
0,0,1,1,1,1,0,10,1,7,1
0,0,1,0,1,1,0,8,1,5,9
0,0,1,0,1,1,0,7,1,6,10
0,0,1,1,1,0,0,10,5,4,8
0,0,1,0,1,1,0,9,6,8,3
0,0,1,0,1,1,0,6,2,2,10
0,0,1,1,1,0,0,9,9,8,10
0,0,1,0,1,0,0,9,4,8,4
0,0,1,1,1,0,0,9,5,4,3
