p1Null,p2Null,isValidp1,isValidp2,isStringp1,isStringp2,isDisjointp1p2,sizeof1,sizeof2,strlen1,strlen2
0,0,1,0,1,0,0,10,6,9,1
0,0,1,0,1,0,0,9,6,5,10
0,0,1,0,1,1,0,7,7,4,9
0,0,1,1,1,1,0,5,1,3,5
0,0,1,1,1,0,1,5,6,4,9
0,0,1,1,1,0,0,6,6,2,10
0,0,1,1,1,0,0,7,9,3,7
0,0,1,0,1,0,0,8,3,6,9
0,0,1,0,1,1,0,5,3,2,9
0,0,1,0,1,0,0,5,8,4,5
0,0,1,0,1,0,0,10,10,2,8
0,0,1,1,1,0,0,3,4,2,8
0,0,1,1,1,1,1,8,9,2,6
0,0,1,0,1,0,0,9,6,6,7
0,0,1,1,1,0,0,10,8,6,4
0,0,1,0,1,0,0,9,2,8,1
0,0,1,1,1,1,0,9,2,2,4
0,0,1,1,1,0,1,9,3,3,5
0,0,1,1,1,1,0,6,2,3,9
0,0,1,1,1,1,1,8,4,3,3
0,0,1,0,1,1,0,9,2,5,6
0,0,1,1,1,0,0,5,7,4,8
0,0,1,1,1,0,0,9,3,4,3
0,0,1,1,1,0,0,6,6,4,2
0,0,1,0,1,0,0,7,6,2,6
0,0,1,1,1,0,0,8,3,1,9
0,0,1,1,1,1,0,9,1,7,6
0,0,1,1,1,0,0,9,9,6,3
0,0,1,1,1,0,0,3,2,2,9
0,0,1,0,1,1,0,9,6,2,8
0,0,1,0,1,1,0,8,8,1,7
0,0,1,1,1,1,1,10,10,8,6
0,0,1,1,1,0,1,5,3,1,4
0,0,1,0,1,0,0,3,10,2,3
0,0,1,1,1,1,1,8,9,7,3
0,0,1,1,1,1,0,6,10,1,6
0,0,1,1,1,0,0,9,8,7,5
0,0,1,1,1,0,0,3,5,1,1
0,0,1,0,1,1,0,3,3,1,7
0,0,1,1,1,1,0,9,1,1,1
0,0,1,1,1,1,0,10,1,9,7
0,0,1,0,1,1,0,10,2,7,1
0,0,1,0,1,1,0,9,7,7,10
