workclass,education,marital_status,occupation,relationship,race,gender,native_country,age,fnlwgt,educational_num,capital_gain,capital_loss,hours_per_week
1,7,2,10,0,4,1,38,28,336951,12,0,0,40
3,15,2,6,0,2,1,38,44,160323,10,7688,0,40
5,14,2,9,0,4,1,38,63,104626,15,3103,0,32
3,11,2,6,0,4,1,38,65,184454,9,6418,0,40
3,11,2,6,0,4,1,38,48,279724,9,3103,0,48
3,12,2,3,0,4,1,38,43,346189,14,0,0,50
3,10,2,9,0,1,1,39,40,85019,16,0,0,45
3,9,2,12,0,4,1,38,34,107914,13,0,0,47
5,11,2,2,0,4,1,38,45,432824,9,7298,0,90
6,15,2,3,0,2,1,38,46,106444,10,7688,0,38
1,9,2,9,0,4,1,38,36,403681,13,0,0,40
3,12,2,9,0,4,1,38,65,136384,14,0,0,50
4,8,2,11,0,4,1,38,44,120277,11,0,0,45
3,8,2,9,5,4,0,38,28,242832,11,0,0,36
3,11,4,7,1,4,1,38,22,54164,9,14084,0,60
1,9,2,3,0,4,1,38,34,382078,13,3103,0,50
4,11,2,3,0,4,1,38,42,170721,9,5178,0,50
4,7,2,2,0,4,1,38,41,445382,12,15024,0,60
3,15,2,3,0,4,1,38,55,323887,10,15024,0,45
4,11,2,2,0,4,1,39,44,223881,9,99999,0,50
3,11,2,11,0,4,1,38,55,160631,9,0,0,56
7,12,2,14,5,4,0,38,41,38434,14,7688,0,10
3,12,2,9,5,4,0,38,33,176410,14,5178,0,10
3,11,2,13,0,4,1,38,59,272087,9,0,0,40
3,8,2,3,0,4,1,38,29,337266,11,0,0,40
3,9,0,11,4,4,0,38,43,179866,13,0,0,40
0,10,2,9,5,4,0,38,48,42972,16,0,0,40
5,11,2,2,0,4,1,20,27,115438,9,0,0,60
3,12,2,9,0,4,1,38,41,239296,14,0,2415,50
4,10,2,9,0,4,1,38,42,100793,16,0,0,41
3,11,2,11,0,4,1,38,36,182863,9,0,0,60
3,11,2,3,0,4,1,38,40,155972,9,7688,0,55
4,11,2,3,0,4,1,38,43,214503,9,0,1887,45
3,11,2,11,0,4,1,38,33,177727,9,0,0,40
3,9,2,3,0,4,1,38,55,124771,13,15024,0,50
6,9,2,0,0,4,1,38,40,67874,13,0,1887,45
6,12,2,3,0,4,1,38,46,56841,14,0,0,45
3,15,2,3,0,4,1,38,31,156493,10,0,0,40
5,10,2,9,0,4,1,38,58,159021,16,0,0,16
3,11,2,9,0,4,1,38,54,236157,9,0,1887,40
3,15,2,3,0,4,1,38,36,236391,10,0,0,45
4,11,2,11,0,4,1,38,33,154227,9,0,0,50
